"category","city","address","list","section","olp","rms","beds","ld","fb","hb","sqft","dom"
"resales","Passaic* Woodland Park* (2516)","2 SLATE CT D3*",429900,"Four Seasons- IRIS",429900,5,2,"08/29/2013",2,0,1715,45
"resales","Passaic* Woodland Park* (2516)","22 Garnet Dr*",475000,"Four Seasons - GRENACHE",529000,5,2,"06/07/2013",2,0,1652,128
"resales","Passaic* Woodland Park* (2516)","14 Garnet Dr*",499812,"Four Seasons Grenache",529812,5,2,"05/07/2013",2,0,1652,159
"resales","Passaic* Woodland Park* (2516)","10 QUARRY DR ",429000,"",439000,6,2,"10/27/2012",2,0,1812,121
"resales","Passaic* Woodland Park* (2516)","3 Zircon Way C2",435000,"Four Seasons  MAGNOLIA",435000,6,2,"06/01/2013",2,0,1813,39
"resales","Passaic* Woodland Park* (2516)","5 Cliff Rd Apt D1*",439000,"Four Seasons-Magnolia",439000,6,2,"11/28/2012",2,0,1813,21
"resales","Passaic* Woodland Park* (2516)","8 Zircon Way*",459000,"Four Seasons at Great Notch",479000,5,2,"05/29/2012",2,0,1715,101
"resales","Passaic* Woodland Park* (2516)","4 Quartz Way*",459900,"KHov Four Seasons-Grenache",459900,5,2,"07/15/2013",2,0,1652,15
"resales","Passaic* Woodland Park* (2516)","54 Quarry Dr*",479000,"Four Seasons Malbec",479000,6,2,"05/29/2012",2,0,null,44
"resales","Passaic* Woodland Park* (2516)","6 QUARTZ WAY*",499900,"Four Seasons - Grenache",499900,5,2,"04/06/2012",2,0,1652,146
"resales","Passaic* Woodland Park* (2516)","11 Quartz Way*",526500,"Four Seasons Syrah",526500,6,2,"11/17/2012",2,1,2281,74
"resales","Passaic* Woodland Park* (2516)","6 Galena Rd*",534000,"4 Seasons - Grenache",534000,5,2,"09/06/2012",2,0,1652,211
"resales","Passaic* Woodland Park* (2516)","9 Quartz Way*",564900,"",569000,7,2,"01/09/2013",2,1,2281,196
"resales","Passaic* Woodland Park* (2516)","19 Quarry Dr*",675000,"Four Seasons",675000,10,3,"02/18/2013",3,0,2907,37
